account_id,company_name,industry,company_size,country,acquisition_channel,account_created_at
1,Company_1,Software,51-200,DE,Outbound,2022-10-12
2,Company_2,Manufacturing,201-1000,IT,Inbound,2021-11-23
3,Company_3,Retail,11-50,DE,Self-serve,2021-01-16
4,Company_4,Software,201-1000,IT,Outbound,2021-07-06
5,Company_5,Healthcare,51-200,IT,Self-serve,2023-08-13
6,Company_6,Finance,11-50,FR,Partner,2023-01-11
7,Company_7,Finance,201-1000,ES,Outbound,2022-09-02
8,Company_8,Software,1-10,US,Self-serve,2021-02-21
9,Company_9,Finance,201-1000,UK,Outbound,2023-04-02
10,Company_10,Software,51-200,DE,Inbound,2022-09-30
11,Company_11,Finance,1000+,US,Partner,2022-09-24
12,Company_12,Healthcare,11-50,ES,Inbound,2022-04-17
13,Company_13,Retail,11-50,UK,Inbound,2022-11-02
14,Company_14,Healthcare,11-50,US,Outbound,2021-08-02
15,Company_15,Retail,1-10,ES,Outbound,2022-10-28
16,Company_16,Finance,1-10,US,Outbound,2023-08-16
17,Company_17,Manufacturing,11-50,ES,Outbound,2022-04-09
18,Company_18,Healthcare,201-1000,ES,Outbound,2021-10-30
19,Company_19,Healthcare,201-1000,IT,Self-serve,2021-02-11
20,Company_20,Healthcare,11-50,UK,Partner,2021-05-03
21,Company_21,Software,1000+,ES,Outbound,2023-01-09
22,Company_22,Retail,1-10,ES,Inbound,2021-10-27
23,Company_23,Finance,1-10,ES,Self-serve,2023-01-05
24,Company_24,Finance,51-200,US,Self-serve,2022-05-10
25,Company_25,Finance,1-10,DE,Self-serve,2022-02-12
26,Company_26,Healthcare,1000+,UK,Inbound,2022-09-11
27,Company_27,Manufacturing,11-50,US,Partner,2022-11-15
28,Company_28,Finance,1-10,DE,Partner,2023-11-07
29,Company_29,Retail,201-1000,DE,Inbound,2022-11-02
30,Company_30,Manufacturing,11-50,ES,Partner,2022-01-27
31,Company_31,Software,1000+,UK,Inbound,2021-10-15
32,Company_32,Manufacturing,11-50,IT,Inbound,2023-06-19
33,Company_33,Retail,1-10,UK,Outbound,2021-02-15
34,Company_34,Healthcare,1-10,DE,Inbound,2023-05-08
35,Company_35,Manufacturing,1-10,IT,Partner,2023-09-16
36,Company_36,Finance,1-10,US,Inbound,2021-12-12
37,Company_37,Healthcare,11-50,FR,Outbound,2023-05-14
38,Company_38,Manufacturing,1-10,FR,Self-serve,2022-12-21
39,Company_39,Finance,201-1000,UK,Inbound,2023-02-05
40,Company_40,Retail,51-200,FR,Outbound,2023-01-10
41,Company_41,,11-50,ES,Inbound,2022-08-22
42,Company_42,Finance,201-1000,FR,Self-serve,2021-08-05
43,Company_43,Finance,51-200,US,Partner,2023-05-16
44,Company_44,Software,51-200,UK,Inbound,2023-10-20
45,Company_45,Software,51-200,FR,Self-serve,2023-11-12
46,Company_46,Retail,11-50,ES,Self-serve,2021-03-11
47,Company_47,Software,11-50,FR,Self-serve,2021-09-18
48,Company_48,Retail,201-1000,FR,Outbound,2021-03-09
49,Company_49,Retail,11-50,FR,Inbound,2023-06-14
50,Company_50,Software,11-50,IT,Inbound,2022-08-30
51,Company_51,Finance,11-50,US,Self-serve,2023-07-26
52,Company_52,Software,51-200,US,Partner,2021-12-10
53,Company_53,Software,51-200,DE,Outbound,2023-07-24
54,Company_54,Retail,11-50,IT,Self-serve,2022-08-29
55,Company_55,Software,11-50,UK,Inbound,2023-03-20
56,Company_56,Manufacturing,51-200,IT,Inbound,2021-11-21
57,Company_57,Finance,11-50,IT,Inbound,2022-12-14
58,Company_58,Healthcare,201-1000,IT,Partner,2023-08-29
59,Company_59,Software,1-10,ES,Outbound,2023-04-16
60,Company_60,Manufacturing,51-200,US,Inbound,2022-05-13
61,Company_61,Retail,11-50,US,Self-serve,2022-03-27
62,Company_62,Healthcare,1000+,FR,Outbound,2021-05-04
63,Company_63,Manufacturing,11-50,ES,Inbound,2023-05-03
64,Company_64,Healthcare,11-50,UK,Self-serve,2021-10-27
65,Company_65,Retail,1000+,IT,Inbound,2023-12-28
66,Company_66,Finance,1-10,US,Self-serve,2021-06-25
67,Company_67,Software,1000+,FR,Partner,2023-06-22
68,Company_68,Healthcare,1000+,FR,Self-serve,2023-12-19
69,Company_69,Finance,51-200,ES,Self-serve,2023-06-09
70,Company_70,Manufacturing,51-200,IT,Self-serve,2023-04-18
71,Company_71,Retail,51-200,US,Partner,2023-10-21
72,Company_72,Finance,1-10,FR,Self-serve,2021-09-19
73,Company_73,Retail,1-10,FR,Self-serve,2021-08-31
74,Company_74,Manufacturing,51-200,UK,Partner,2021-08-15
75,Company_75,Retail,1000+,ES,Outbound,2023-02-27
76,Company_76,Healthcare,51-200,DE,Inbound,2023-02-17
77,Company_77,Healthcare,1-10,DE,Inbound,2022-07-22
78,Company_78,Finance,201-1000,US,Inbound,2023-05-09
79,Company_79,Retail,201-1000,fr ,Partner,2023-12-08
80,Company_80,Retail,11-50,US,Inbound,2022-06-30
81,Company_81,Retail,51-200,fr ,Self-serve,2023-08-18
82,Company_82,Software,1-10,UK,Inbound,2023-10-08
83,Company_83,Finance,1-10,UK,Partner,2022-03-09
84,Company_84,Retail,51-200,UK,Self-serve,2022-04-20
85,Company_85,Healthcare,51-200,FR,Outbound,2021-04-03
86,Company_86,Finance,51-200,US,Self-serve,2022-10-16
87,Company_87,Manufacturing,51-200,UK,Partner,2022-02-03
88,Company_88,Manufacturing,1000+,FR,Partner,2021-03-10
89,Company_89,Healthcare,201-1000,ES,Inbound,2022-09-20
90,Company_90,Software,201-1000,FR,Partner,2022-08-15
91,Company_91,Manufacturing,11-50,FR,Outbound,2023-08-25
92,Company_92,Finance,1000+,UK,Inbound,2021-09-08
