usage_id,account_id,event_date,feature_name,events_count,active_users
1,13,2023-05-07,code_assist,7,12
2,51,2023-03-25,code_assist,6,37
3,495,2023-01-29,data_insights,5,33
4,64,2023-02-28,dashboard_export,6,40
5,425,2023-06-10,code_assist,5,27
6,397,2023-06-10,dashboard_export,4,18
7,319,2023-02-10,dashboard_export,3,29
8,294,2023-01-19,data_insights,2,35
9,467,2023-05-08,dashboard_export,2,38
10,257,2023-03-17,code_assist,5,4
11,234,2023-06-23,code_assist,7,18
12,81,2023-05-19,chat_completion,7,35
13,434,2023-02-26,code_assist,2,35
14,205,2023-04-12,code_assist,10,7
15,273,2023-03-06,dashboard_export,8,24
16,251,2023-04-02,chat_completion,8,24
17,416,2023-04-06,chat_completion,9,10
18,21,2023-02-07,data_insights,4,47
19,358,2023-05-15,data_insights,6,4
20,500,2023-05-10,chat_completion,7,13
21,37,2023-03-30,dashboard_export,5,26
22,42,2023-02-17,chat_completion,9,25
23,244,2023-03-10,dashboard_export,4,17
24,15,2023-02-22,chat_completion,6,3
25,343,2023-01-25,chat_completion,5,5
26,77,2023-01-14,chat_completion,4,50
27,153,2023-04-21,data_insights,9,36
28,199,2023-05-13,dashboard_export,3,37
29,252,2023-04-19,chat_completion,5,8
30,173,2023-05-24,chat_completion,6,46
31,24,2023-05-31,data_insights,6,6
32,181,2023-04-29,dashboard_export,5,17
33,270,2023-05-30,code_assist,6,30
34,493,2023-04-13,data_insights,8,15
35,53,2023-02-11,code_assist,4,29
36,45,2023-02-22,data_insights,6,34
37,139,2023-05-01,code_assist,7,46
38,217,2023-03-02,code_assist,8,13
39,11,2023-01-17,code_assist,6,15
40,62,2023-05-25,chat_completion,5,33
41,303,2023-06-06,chat_completion,6,1
42,111,2023-03-17,dashboard_export,6,1
43,33,2023-02-28,dashboard_export,4,20
44,140,2023-05-02,chat_completion,7,28
45,481,2023-01-05,dashboard_export,7,28
46,409,2023-01-29,code_assist,1,25
47,210,2023-02-17,chat_completion,7,16
48,314,2023-05-26,dashboard_export,6,15
49,251,2023-05-12,chat_completion,7,50
50,499,2023-02-28,dashboard_export,6,47
51,17,2023-03-18,chat_completion,8,9
52,117,2023-06-16,chat_completion,6,7
53,474,2023-01-29,code_assist,4,11
54,55,2023-05-14,code_assist,6,8
55,108,2023-06-24,code_assist,2,26
56,469,2023-01-02,chat_completion,7,35
57,393,2023-06-25,chat_completion,2,13
58,171,2023-01-25,dashboard_export,4,24
59,174,2023-02-06,chat_completion,1,48
60,23,2023-05-21,chat_completion,2,5
61,251,2023-06-24,data_insights,4,47
62,37,2023-04-23,code_assist,3,9
63,149,2023-02-24,chat_completion,5,41
64,91,2023-01-30,dashboard_export,5,39
65,183,2023-05-06,dashboard_export,7,41
66,198,2023-03-28,code_assist,5,50
67,380,2023-06-27,data_insights,3,30
68,169,2023-01-07,code_assist,3,47
69,227,2023-05-27,data_insights,0,41
70,85,2023-01-19,code_assist,1,22
71,58,2023-01-30,dashboard_export,9,46
72,489,2023-03-09,chat_completion,3,45
73,447,2023-06-22,data_insights,3,36
74,415,2023-01-29,code_assist,5,38
75,142,2023-05-15,code_assist,5,29
76,434,2023-06-14,code_assist,1,8
77,282,2023-01-23,chat_completion,4,35
78,78,2023-02-04,chat_completion,7,42
79,358,2023-01-11,chat_completion,2,28
80,343,2023-05-12,data_insights,6,33
81,182,2023-06-20,dashboard_export,3,38
82,158,2023-05-24,data_insights,4,48
83,260,2023-05-24,dashboard_export,5,13
84,344,2023-04-04,chat_completion,3,12
85,420,2023-03-12,chat_completion,2,30
86,258,2023-06-14,code_assist,2,36
87,287,2023-01-20,dashboard_export,7,45
88,332,2023-05-19,chat_completion,6,26
89,239,2023-04-09,chat_completion,6,2
90,463,2023-06-10,data_insights,4,33
91,339,2023-04-05,code_assist,3,19
92,383,2023-04-21,code_assist,8,13
93,185,2023-04-16,code_assist,2,18
94,105,2023-02-19,data_insights,4,13
95,338,2023-02-17,chat_completion,4,6
96,485,2023-01-20,dashboard_export,6,20
97,50,2023-04-11,chat_completion,6,31
98,280,2023-06-13,chat_completion,2,36
99,340,2023-04-24,data_insights,4,48
100,367,2023-05-30,chat_completion,1,25
101,370,2023-02-21,code_assist,6,45
102,170,2023-01-08,code_assist,3,4
103,433,2023-04-11,data_insights,6,33
104,221,2023-06-18,data_insights,6,42
105,221,2023-04-05,chat_completion,3,47
106,36,2023-02-06,chat_completion,7,40
107,115,2023-06-05,dashboard_export,8,18
108,326,2023-06-14,data_insights,8,19
109,257,2023-01-29,dashboard_export,7,33
110,298,2023-01-20,data_insights,2,22
111,24,2023-06-01,chat_completion,0,32
112,386,2023-02-26,data_insights,7,28
113,101,2023-01-14,code_assist,4,12
114,409,2023-04-13,code_assist,4,38
115,280,2023-02-10,code_assist,6,8
116,173,2023-05-27,data_insights,7,8
117,95,2023-02-18,data_insights,5,11
118,455,2023-03-10,code_assist,5,2
119,229,2023-05-07,code_assist,6,48
120,75,2023-03-27,chat_completion,2,11
121,242,2023-03-13,data_insights,7,3
122,402,2023-04-13,data_insights,5,49
123,108,2023-01-14,data_insights,6,27
124,114,2023-04-08,data_insights,5,42
125,265,2023-03-21,chat_completion,10,19
126,241,2023-02-19,code_assist,2,7
127,419,2023-05-12,code_assist,-1,17
128,150,2023-04-22,dashboard_export,5,20
129,117,2023-01-05,code_assist,2,12
130,248,2023-04-06,data_insights,8,43
131,497,2023-04-29,data_insights,7,37
132,184,2023-01-11,data_insights,2,23
133,235,2023-05-21,chat_completion,3,47
134,108,2023-02-20,dashboard_export,8,4
135,457,2023-06-15,data_insights,5,40
136,256,2023-04-19,data_insights,5,44
137,130,2023-05-02,data_insights,7,40
138,85,2023-04-30,dashboard_export,6,21
139,498,2023-03-17,chat_completion,5,23
140,287,2023-01-19,data_insights,3,23
141,255,2023-01-17,dashboard_export,4,40
142,216,2023-05-02,data_insights,6,29
143,46,2023-01-10,code_assist,6,32
144,125,2023-06-23,chat_completion,3,15
145,155,2023-03-14,chat_completion,6,49
146,213,2023-03-10,dashboard_export,2,6
147,274,2023-04-05,code_assist,3,27
148,155,2023-03-16,chat_completion,5,38
149,373,2023-02-17,code_assist,3,32
150,323,2023-03-02,code_assist,4,39
151,297,2023-03-22,chat_completion,2,2
152,349,2023-06-15,data_insights,2,29
153,247,2023-03-07,data_insights,7,17
154,122,2023-03-21,code_assist,9,29
155,251,2023-06-17,dashboard_export,6,22
156,142,2023-02-27,chat_completion,3,46
157,177,2023-04-08,data_insights,2,38
158,9,2023-05-08,data_insights,6,23
159,410,2023-04-21,chat_completion,6,14
160,474,2023-01-02,chat_completion,3,49
161,439,2023-02-10,dashboard_export,3,19
162,38,2023-01-15,data_insights,4,3
163,389,2023-05-17,chat_completion,6,43
164,336,2023-01-02,code_assist,9,44
165,191,2023-01-11,code_assist,5,18
166,258,2023-02-14,chat_completion,4,32
167,285,2023-02-06,code_assist,5,15
168,327,2023-04-20,dashboard_export,7,3
169,260,2023-06-18,chat_completion,4,26
170,180,2023-02-23,chat_completion,6,14
171,211,2023-06-01,dashboard_export,7,2
172,397,2023-04-29,chat_completion,3,33
173,179,2023-05-11,dashboard_export,5,23
174,110,2023-06-18,code_assist,6,33
175,232,2023-06-07,data_insights,4,33
176,311,2023-03-21,dashboard_export,3,11
177,485,2023-02-10,dashboard_export,7,41
178,441,2023-03-06,chat_completion,2,41
179,28,2023-05-29,dashboard_export,3,38
180,491,2023-01-10,chat_completion,5,49
181,253,2023-03-24,dashboard_export,7,28
182,383,2023-02-19,data_insights,6,48
183,450,2023-05-16,code_assist,5,48
184,55,2023-04-04,dashboard_export,5,39
185,155,2023-06-07,chat_completion,5,14
186,244,2023-04-29,chat_completion,5,9
187,218,2023-01-18,chat_completion,3,6
188,35,2023-06-21,data_insights,4,29
189,453,2023-04-07,dashboard_export,5,31
190,372,2023-02-26,dashboard_export,8,45
191,500,2023-05-27,data_insights,4,41
192,411,2023-02-15,chat_completion,2,4
193,201,2023-04-11,dashboard_export,4,15
194,75,2023-05-12,data_insights,6,33
195,401,2023-05-27,code_assist,7,37
196,126,2023-03-22,code_assist,8,21
197,82,2023-04-23,code_assist,4,23
198,238,2023-04-12,dashboard_export,6,22
199,280,2023-05-13,chat_completion,10,29
200,455,2023-01-22,code_assist,3,10
201,288,2023-03-26,dashboard_export,6,45
202,112,2023-01-02,code_assist,6,25
203,369,2023-05-19,data_insights,6,18
204,453,2023-03-14,chat_completion,4,33
205,43,2023-05-01,dashboard_export,6,26
206,440,2023-04-15,code_assist,2,20
207,400,2023-04-02,code_assist,3,44
208,350,2023-01-04,dashboard_export,6,12
209,300,2023-04-12,code_assist,7,46
210,104,2023-05-04,data_insights,3,20
211,274,2023-01-06,code_assist,4,19
212,229,2023-01-18,code_assist,4,29
213,139,2023-05-21,data_insights,3,16
214,72,2023-02-10,data_insights,7,28
215,10,2023-02-18,dashboard_export,4,40
216,289,2023-02-22,dashboard_export,8,36
217,82,2023-02-05,dashboard_export,6,21
218,92,2023-02-09,data_insights,4,43
219,453,2023-04-30,chat_completion,2,41
220,51,2023-01-24,chat_completion,5,25
221,500,2023-01-25,chat_completion,1,35
222,447,2023-03-21,data_insights,4,18
223,210,2023-05-09,data_insights,4,42
224,476,2023-02-03,chat_completion,5,25
225,230,2023-03-29,dashboard_export,4,19
226,394,2023-01-29,data_insights,6,35
227,303,2023-04-13,chat_completion,5,19
228,401,2023-03-07,dashboard_export,4,7
229,254,2023-04-25,data_insights,4,22
230,475,2023-06-16,chat_completion,8,20
231,1,2023-04-13,chat_completion,3,22
232,5,2023-01-18,data_insights,6,42
233,138,2023-04-23,data_insights,4,28
234,153,2023-03-11,code_assist,4,34
235,439,2023-02-01,code_assist,7,5
236,52,2023-02-25,data_insights,9,39
237,47,2023-06-02,code_assist,4,23
238,338,2023-04-14,chat_completion,3,32
239,358,2023-03-22,data_insights,2,49
240,436,2023-04-11,code_assist,6,48
241,140,2023-05-29,code_assist,7,34
242,421,2023-03-08,code_assist,6,1
243,340,2023-03-31,dashboard_export,2,30
244,114,2023-03-22,code_assist,3,43
245,17,2023-06-06,data_insights,5,3
246,393,2023-01-27,chat_completion,5,15
247,65,2023-06-13,dashboard_export,4,45
248,223,2023-03-18,code_assist,5,49
249,105,2023-06-02,data_insights,6,20
250,166,2023-05-08,chat_completion,10,33
251,500,2023-06-07,chat_completion,7,43
252,281,2023-05-07,chat_completion,7,50
253,441,2023-04-22,chat_completion,7,32
254,364,2023-04-10,code_assist,8,15
255,327,2023-02-04,data_insights,5,37
256,307,2023-02-23,dashboard_export,6,7
257,270,2023-03-30,chat_completion,2,37
258,190,2023-01-14,code_assist,4,24
259,451,2023-05-22,chat_completion,3,21
260,374,2023-03-20,dashboard_export,9,18
261,320,2023-05-05,data_insights,5,13
262,347,2023-06-06,code_assist,3,46
263,202,2023-02-18,data_insights,5,50
264,423,2023-05-10,code_assist,7,6
265,307,2023-06-27,data_insights,4,31
266,326,2023-06-27,code_assist,4,43
267,458,2023-06-07,data_insights,8,29
268,138,2023-02-21,chat_completion,4,45
269,389,2023-04-22,chat_completion,3,34
270,227,2023-01-01,dashboard_export,6,22
271,210,2023-02-24,data_insights,4,23
272,444,2023-04-25,chat_completion,4,22
273,217,2023-04-04,code_assist,5,33
274,411,2023-01-26,chat_completion,6,23
275,189,2023-03-09,dashboard_export,4,42
276,210,2023-04-12,code_assist,4,40
277,186,2023-06-03,dashboard_export,4,19
278,153,2023-01-11,dashboard_export,4,34
279,134,2023-03-31,code_assist,4,27
280,112,2023-05-28,dashboard_export,5,3
281,173,2023-06-20,chat_completion,5,12
282,485,2023-05-23,code_assist,4,22
283,496,2023-01-20,dashboard_export,6,39
284,479,2023-05-02,data_insights,2,39
285,68,2023-06-27,chat_completion,4,3
286,249,2023-05-09,data_insights,2,28
287,173,2023-06-19,dashboard_export,3,35
288,324,2023-04-29,data_insights,5,17
289,387,2023-06-12,code_assist,6,21
290,423,2023-06-27,dashboard_export,5,37
291,79,2023-03-11,code_assist,1,1
292,312,2023-04-05,dashboard_export,3,23
293,91,2023-04-12,data_insights,9,49
294,59,2023-01-23,code_assist,3,38
295,283,2023-01-25,data_insights,4,23
296,300,2023-03-24,code_assist,1,31
297,140,2023-05-12,code_assist,1,50
298,108,2023-01-09,data_insights,9,34
299,11,2023-04-01,code_assist,7,15
