subscription_id,account_id,plan_type,mrr_usd,subscription_start,subscription_end
1,326,Free,52.91,2022-07-25,2023-05-02
2,88,Pro,227.01,2022-08-07,2023-03-29
3,209,Free,159.69,2022-08-15,2022-07-19
4,56,Free,438.12,2023-08-03,2024-05-29
5,403,Free,0.0,2022-03-25,2022-08-17
6,306,Enterprise,105.56,2021-08-17,2021-10-01
7,443,Free,0.0,2023-07-01,2023-10-24
8,263,Pro,114.04,2023-12-08,2024-05-25
9,313,Free,556.53,2022-11-28,2023-05-09
10,143,Enterprise,44.95,2022-09-18,2023-05-11
11,6,Pro,0.0,2021-04-13,2021-09-25
12,40,Pro,110.03,2023-08-18,2024-07-27
13,245,Enterprise,0.0,2023-09-29,2024-09-07
14,424,Free,0.0,2022-07-08,2022-12-24
15,168,Free,42.03,2023-07-03,2024-06-12
16,338,Free,101.63,2022-12-25,2023-07-28
17,301,Pro,544.52,2021-06-13,2021-10-17
18,77,Enterprise,0.0,2021-11-21,2022-10-07
19,229,Free,551.73,2021-12-23,
20,154,Pro,0.0,2023-04-04,2023-09-01
21,313,Pro,106.37,2023-03-20,
22,439,Pro,116.17,2022-01-11,2022-01-05
23,424,Pro,562.83,2021-05-27,2022-02-22
24,480,Free,430.01,2021-04-19,2021-12-21
25,334,Pro,0.0,2021-11-07,2022-05-25
26,284,Pro,95.8,2021-10-30,2022-02-10
27,133,Free,174.5,2022-08-23,2022-11-02
28,100,Enterprise,0.0,2022-11-07,2023-06-13
29,403,Enterprise,0.0,2022-02-19,
30,8,Free,0.0,2023-10-10,2024-04-04
31,149,Enterprise,0.0,2023-12-28,2024-11-16
32,65,Enterprise,472.82,2022-05-11,2022-07-22
33,61,Pro,0.0,2022-09-04,
34,452,Pro,198.06,2021-11-01,2022-01-11
35,84,Pro,0.0,2023-11-04,2024-06-25
36,392,Pro,216.64,2023-05-23,2023-11-17
37,69,Free,0.0,2022-09-21,2022-12-24
38,136,Enterprise,0.0,2021-10-15,2022-01-11
39,484,Enterprise,112.68,2023-02-16,2023-04-01
40,263,Free,532.95,2023-06-19,2023-11-06
41,433,Enterprise,94.54,2022-05-10,2022-07-04
42,75,Pro,56.74,2023-01-24,2023-09-07
43,39,Pro,526.34,2021-04-18,2021-10-06
44,59,Enterprise,84.78,2023-05-24,2024-03-10
45,298,Free,186.63,2021-01-04,2021-04-29
46,13,Free,0.0,2022-12-12,2023-06-11
47,512,Pro,49.29,2021-04-20,
48,269,Pro,0.0,2021-04-25,2021-12-01
49,388,Free,94.0,2021-10-15,2022-06-15
50,377,Pro,193.36,2023-08-05,2023-09-24
51,463,Free,235.65,2021-10-06,2022-01-30
52,33,Pro,0.0,2021-10-03,2021-11-04
53,98,Enterprise,586.87,2021-03-04,
54,215,Free,222.5,2023-04-06,2023-09-24
55,453,Free,94.43,2023-07-29,2024-05-26
56,305,Free,0.0,2022-11-25,2023-09-18
57,263,Free,0.0,2023-10-20,2024-07-18
58,227,Enterprise,0.0,2021-03-20,2021-11-14
59,8,Free,519.62,2023-11-21,2024-08-17
60,21,Pro,117.33,2023-08-08,2024-05-04
61,348,Free,161.94,2021-01-03,
62,190,Pro,462.41,2023-09-23,
63,292,Free,52.99,2022-01-30,2022-10-23
64,322,Free,412.05,2022-07-18,2022-09-08
65,96,Pro,206.39,2022-11-06,
66,112,Free,469.78,2021-07-12,2021-08-25
67,115,Free,107.18,2023-12-26,2024-10-21
68,338,Enterprise,0.0,2021-09-25,2022-08-31
69,340,Pro,42.21,2022-10-23,2023-10-14
70,248,Free,586.82,2023-07-20,2024-02-13
71,184,Free,174.56,2023-03-17,2024-03-08
72,354,Free,572.5,2022-03-09,2022-08-30
73,143,Enterprise,42.38,2022-12-28,
74,273,Enterprise,484.56,2022-12-30,2023-03-18
75,480,Free,42.84,2022-08-15,2022-12-15
76,10,Pro,531.58,2021-04-08,2021-10-07
77,414,Pro,575.54,2023-08-10,2024-06-15
78,525,Enterprise,170.59,2023-10-02,2024-02-08
79,454,Free,174.14,2023-11-07,2024-01-11
80,352,Pro,0.0,2021-07-10,2021-11-01
81,400,Pro,545.3,2023-08-24,2024-06-24
82,15,Enterprise,190.75,2022-03-27,2023-01-02
83,124,Free,0.0,2023-04-16,2023-10-31
