ticket_id,account_id,created_at,category,status,csat_score
1,360,2023-02-19,Onboarding,closed,3.0
2,261,2023-01-16,Billing,closed,3.0
3,236,2023-03-30,Feature request,closed,4.0
4,249,2023-04-14,Bug,closed,1.0
5,20,2023-06-17,Feature request,closed,3.0
6,217,2023-05-14,Onboarding,closed,4.0
7,264,2023-06-23,Feature request,closed,3.0
8,214,2023-02-11,Onboarding,closed,1.0
9,116,2023-05-22,Feature request,closed,3.0
10,192,2023-01-10,Billing,closed,5.0
11,43,2023-06-24,Onboarding,closed,3.0
12,27,2023-01-27,Billing,closed,4.0
13,335,2023-03-24,Billing,pending,3.0
14,456,2023-02-20,Bug,pending,5.0
15,195,2023-04-27,Billing,closed,
16,374,2023-06-06,Bug,pending,2.0
17,351,2023-06-24,Feature request,pending,5.0
18,99,2023-01-30,Onboarding,open,3.0
19,71,2023-04-19,Bug,closed,3.0
20,149,2023-06-17,Bug,closed,2.0
21,405,2023-01-22,Billing,open,4.0
22,429,2023-05-06,Feature request,pending,2.0
23,186,2023-05-16,Feature request,closed,4.0
24,211,2023-04-02,Feature request,open,
25,33,2023-03-31,Feature request,closed,3.0
26,285,2023-04-29,Bug,open,
27,141,2023-01-09,Onboarding,pending,2.0
28,193,2023-03-12,Onboarding,closed,5.0
29,365,2023-03-29,Onboarding,open,1.0
30,245,2023-05-03,Bug,closed,2.0
31,468,2023-02-24,Billing,Closed ,5.0
32,201,2023-03-12,Bug,closed,4.0
33,493,2023-03-30,Billing,closed,3.0
34,205,2023-01-22,Billing,closed,2.0
35,126,2023-03-19,Bug,pending,1.0
36,451,2023-05-13,Onboarding,pending,4.0
37,469,2023-04-04,Bug,closed,3.0
38,456,2023-03-11,Onboarding,closed,3.0
39,10,2023-01-07,Billing,closed,3.0
40,65,2023-06-07,Bug,open,2.0
41,109,2023-06-19,Onboarding,pending,3.0
42,323,2023-03-26,Feature request,closed,5.0
43,458,2023-04-10,Feature request,closed,2.0
44,470,2023-05-05,Feature request,pending,2.0
45,271,2023-03-29,Bug,open,1.0
46,349,2023-06-05,Bug,pending,5.0
47,288,2023-06-25,Onboarding,closed,1.0
48,330,2023-03-31,Onboarding,closed,3.0
49,16,2023-03-31,Bug,pending,5.0
50,81,2023-05-09,Feature request,closed,3.0
51,416,2023-03-09,Onboarding,closed,3.0
52,247,2023-03-06,Bug,closed,5.0
53,313,2023-05-12,Onboarding,closed,3.0
54,161,2023-02-14,Bug,closed,5.0
55,303,2023-04-13,Onboarding,pending,4.0
56,247,2023-01-23,Billing,closed,5.0
57,121,2023-01-26,Onboarding,closed,2.0
58,410,2023-06-23,Feature request,closed,4.0
59,141,2023-05-08,Feature request,pending,2.0
60,161,2023-06-07,Billing,closed,2.0
61,216,2023-06-09,Onboarding,closed,3.0
62,34,2023-04-15,Feature request,closed,4.0
63,35,2023-03-05,Bug,closed,4.0
64,238,2023-04-19,Billing,Closed ,3.0
65,259,2023-02-03,Feature request,closed,5.0
66,500,2023-01-15,Onboarding,closed,2.0
67,22,2023-05-23,Billing,closed,5.0
68,27,2023-06-23,Feature request,pending,2.0
69,489,2023-01-21,Feature request,closed,3.0
70,487,2023-01-10,Onboarding,pending,4.0
71,468,2023-06-25,Billing,pending,5.0
72,127,2023-05-06,Onboarding,closed,3.0
73,310,2023-06-29,Billing,closed,4.0
74,86,2023-04-16,Billing,pending,3.0
75,44,2023-01-26,Feature request,closed,3.0
76,82,2023-02-20,Billing,closed,3.0
77,385,2023-02-07,Onboarding,closed,1.0
78,488,2023-06-08,Bug,closed,4.0
79,209,2023-04-13,Onboarding,pending,
80,492,2023-01-22,Billing,closed,4.0
81,347,2023-03-19,Onboarding,closed,5.0
82,189,2023-06-28,Bug,closed,
83,32,2023-02-12,Bug,Closed ,
84,86,2023-06-19,Feature request,closed,5.0
85,67,2023-03-08,Billing,open,3.0
86,182,2023-04-21,Billing,pending,3.0
87,49,2023-03-03,Feature request,closed,
88,424,2023-01-24,Onboarding,closed,3.0
89,253,2023-01-11,Billing,closed,1.0
90,208,2023-05-25,Billing,closed,4.0
91,174,2023-04-23,Bug,closed,5.0
92,101,2023-05-31,Bug,pending,4.0
93,29,2023-03-22,Billing,closed,3.0
94,402,2023-05-04,Billing,open,1.0
95,15,2023-05-08,Feature request,closed,1.0
96,454,2023-03-13,Feature request,closed,2.0
97,318,2023-02-05,Feature request,closed,4.0
98,439,2023-03-04,Onboarding,open,5.0
99,69,2023-06-27,Billing,closed,3.0
100,299,2023-02-12,Onboarding,closed,3.0
101,53,2023-05-21,Onboarding,closed,2.0
102,283,2023-05-27,Bug,closed,4.0
103,265,2023-06-13,Onboarding,closed,4.0
104,322,2023-01-13,Bug,pending,4.0
105,390,2023-04-19,Bug,closed,4.0
106,414,2023-02-25,Billing,pending,4.0
107,156,2023-05-03,Onboarding,closed,1.0
108,335,2023-01-07,Billing,closed,4.0
109,222,2023-05-12,Bug,closed,5.0
110,151,2023-01-24,Feature request,pending,3.0
111,428,2023-05-28,Onboarding,closed,3.0
112,113,2023-03-01,Feature request,closed,3.0
113,265,2023-01-26,Onboarding,closed,5.0
114,359,2023-02-09,Billing,closed,4.0
115,203,2023-01-11,Feature request,open,3.0
116,450,2023-05-02,Onboarding,closed,4.0
117,101,2023-05-04,Billing,closed,4.0
118,273,2023-03-30,Bug,closed,5.0
119,496,2023-01-17,Billing,closed,4.0
120,175,2023-04-25,Billing,closed,3.0
121,179,2023-03-13,Bug,closed,2.0
122,115,2023-05-11,Feature request,open,
123,248,2023-06-15,Feature request,closed,4.0
124,119,2023-02-04,Billing,open,3.0
125,169,2023-04-26,Onboarding,closed,5.0
126,34,2023-05-29,Onboarding,pending,5.0
127,360,2023-01-13,Billing,closed,4.0
128,497,2023-03-02,Bug,open,4.0
129,27,2023-01-10,Billing,closed,1.0
130,482,2023-04-13,Bug,closed,5.0
131,151,2023-04-13,Bug,closed,4.0
132,209,2023-01-22,Bug,closed,5.0
133,156,2023-02-22,Onboarding,closed,4.0
134,423,2023-03-21,Bug,closed,5.0
135,206,2023-02-25,Onboarding,closed,4.0
136,355,2023-06-05,Feature request,closed,4.0
137,157,2023-06-23,Feature request,closed,4.0
138,8,2023-06-28,Billing,closed,2.0
139,397,2023-04-01,Billing,closed,
140,481,2023-05-16,Billing,closed,3.0
141,259,2023-02-03,Onboarding,open,2.0
142,285,2023-06-04,Billing,closed,1.0
143,475,2023-06-25,Billing,closed,3.0
144,84,2023-01-14,Feature request,closed,4.0
145,490,2023-05-13,Billing,closed,5.0
146,304,2023-02-09,Bug,closed,2.0
147,339,2023-05-12,Feature request,pending,5.0
148,488,2023-03-10,Feature request,pending,4.0
149,161,2023-06-11,Bug,pending,3.0
150,290,2023-04-11,Billing,open,4.0
151,489,2023-03-17,Bug,closed,3.0
152,376,2023-05-02,Feature request,closed,1.0
153,279,2023-03-24,Feature request,closed,5.0
154,30,2023-01-14,Bug,closed,2.0
155,410,2023-03-17,Billing,closed,3.0
156,13,2023-02-22,Feature request,closed,1.0
157,286,2023-01-28,Onboarding,closed,5.0
158,170,2023-02-19,Billing,closed,4.0
159,116,2023-06-05,Billing,pending,5.0
160,266,2023-02-04,Billing,closed,
161,19,2023-05-08,Onboarding,closed,5.0
162,220,2023-04-26,Feature request,closed,5.0
163,212,2023-05-29,Bug,closed,4.0
164,114,2023-01-01,Billing,closed,3.0
165,48,2023-06-12,Billing,closed,2.0
166,68,2023-03-09,Feature request,closed,3.0
167,248,2023-04-07,Bug,closed,3.0
168,345,2023-06-14,Feature request,open,2.0
169,79,2023-02-01,Feature request,closed,1.0
170,238,2023-04-03,Feature request,closed,3.0
171,248,2023-06-18,Feature request,closed,4.0
172,159,2023-02-02,Feature request,closed,3.0
173,146,2023-06-02,Feature request,pending,4.0
174,458,2023-01-21,Onboarding,pending,4.0
175,302,2023-03-13,Bug,closed,3.0
176,22,2023-03-03,Billing,closed,1.0
177,319,2023-05-08,Feature request,closed,1.0
178,87,2023-01-19,Bug,pending,2.0
179,417,2023-02-28,Billing,open,4.0
180,406,2023-01-10,Onboarding,closed,5.0
181,495,2023-03-16,Feature request,closed,2.0
182,294,2023-02-05,Onboarding,closed,1.0
183,314,2023-03-01,Bug,closed,
184,65,2023-05-31,Onboarding,closed,2.0
185,242,2023-03-05,Onboarding,closed,
186,93,2023-02-17,Onboarding,closed,2.0
187,25,2023-02-16,Feature request,pending,3.0
188,229,2023-01-02,Onboarding,closed,2.0
189,274,2023-04-08,Onboarding,closed,2.0
190,196,2023-03-18,Bug,closed,5.0
191,227,2023-04-04,Onboarding,closed,3.0
192,495,2023-01-25,Feature request,closed,4.0
193,152,2023-01-01,Feature request,pending,
194,286,2023-02-24,Feature request,open,5.0
195,102,2023-04-19,Bug,closed,1.0
196,227,2023-01-31,Onboarding,pending,3.0
197,217,2023-03-09,Billing,closed,1.0
198,271,2023-04-25,Onboarding,closed,4.0
199,234,2023-06-27,Feature request,closed,3.0
200,280,2023-01-28,Bug,closed,3.0
201,442,2023-01-16,Onboarding,pending,5.0
202,197,2023-02-04,Bug,closed,2.0
203,235,2023-06-03,Bug,closed,3.0
204,444,2023-03-02,Bug,closed,5.0
205,39,2023-03-16,Feature request,pending,2.0
206,85,2023-04-28,Onboarding,open,5.0
207,483,2023-03-07,Feature request,closed,4.0
208,214,2023-05-29,Feature request,open,1.0
209,469,2023-02-17,Bug,closed,3.0
210,239,2023-01-05,Feature request,closed,3.0
211,204,2023-01-08,Bug,closed,4.0
212,482,2023-01-05,Onboarding,pending,
213,156,2023-04-06,Feature request,pending,4.0
214,418,2023-03-28,Billing,closed,3.0
215,461,2023-06-23,Billing,closed,4.0
216,389,2023-04-24,Bug,closed,3.0
217,349,2023-04-24,Bug,closed,4.0
218,244,2023-05-25,Onboarding,pending,
219,48,2023-05-06,Onboarding,closed,1.0
220,321,2023-01-15,Feature request,closed,3.0
221,222,2023-06-01,Onboarding,closed,4.0
222,74,2023-02-08,Bug,closed,3.0
223,78,2023-02-06,Onboarding,closed,5.0
224,6,2023-05-13,Bug,Closed ,4.0
225,80,2023-06-11,Onboarding,open,5.0
226,167,2023-03-12,Feature request,pending,
227,73,2023-03-19,Billing,closed,3.0
228,165,2023-06-09,Onboarding,closed,3.0
229,318,2023-02-13,Feature request,closed,5.0
230,88,2023-06-29,Billing,pending,4.0
231,121,2023-01-04,Feature request,closed,3.0
232,192,2023-05-30,Feature request,closed,3.0
233,56,2023-04-19,Feature request,closed,3.0
234,479,2023-03-08,Onboarding,closed,2.0
235,211,2023-03-08,Billing,closed,5.0
236,299,2023-01-19,Bug,closed,5.0
237,495,2023-03-14,Feature request,open,3.0
238,230,2023-02-24,Billing,pending,2.0
239,366,2023-01-02,Feature request,closed,
240,20,2023-04-12,Bug,closed,5.0
241,52,2023-02-13,Onboarding,closed,3.0
242,351,2023-01-25,Onboarding,pending,
243,253,2023-01-01,Billing,closed,4.0
244,246,2023-03-11,Onboarding,closed,
245,74,2023-02-25,Feature request,pending,2.0
246,35,2023-06-05,Billing,closed,3.0
247,455,2023-02-08,Billing,closed,2.0
248,219,2023-04-21,Bug,closed,2.0
249,44,2023-02-11,Feature request,closed,5.0
250,206,2023-04-24,Bug,closed,1.0
251,286,2023-06-11,Billing,closed,2.0
252,467,2023-05-12,Bug,pending,4.0
253,301,2023-06-01,Bug,pending,1.0
254,296,2023-02-16,Onboarding,closed,4.0
255,266,2023-04-21,Billing,closed,1.0
256,74,2023-03-29,Billing,closed,4.0
257,112,2023-04-20,Feature request,closed,3.0
258,18,2023-04-02,Feature request,closed,5.0
259,499,2023-01-14,Feature request,pending,4.0
260,345,2023-01-27,Billing,pending,3.0
261,88,2023-02-18,Feature request,open,
262,416,2023-06-03,Billing,closed,4.0
263,464,2023-04-17,Feature request,open,
264,484,2023-02-04,Billing,closed,4.0
265,151,2023-06-07,Onboarding,pending,5.0
266,236,2023-06-06,Billing,closed,5.0
267,66,2023-04-20,Feature request,closed,
268,219,2023-04-24,Bug,closed,1.0
269,433,2023-06-18,Feature request,pending,4.0
270,57,2023-01-06,Onboarding,closed,1.0
271,58,2023-06-12,Bug,closed,1.0
272,287,2023-06-17,Onboarding,closed,
273,241,2023-04-06,Onboarding,closed,2.0
274,384,2023-01-21,Billing,closed,4.0
275,322,2023-01-20,Onboarding,pending,1.0
276,304,2023-02-03,Billing,closed,4.0
277,94,2023-05-01,Bug,closed,5.0
278,368,2023-02-14,Onboarding,closed,3.0
279,60,2023-05-03,Onboarding,open,5.0
280,171,2023-04-09,Bug,closed,3.0
281,415,2023-05-16,Onboarding,closed,4.0
282,132,2023-04-05,Billing,closed,5.0
283,152,2023-03-08,Bug,closed,2.0
284,23,2023-03-15,Feature request,open,3.0
285,190,2023-01-07,Feature request,closed,2.0
286,477,2023-05-11,Billing,closed,2.0
287,470,2023-01-20,Feature request,closed,3.0
288,160,2023-03-23,Feature request,closed,2.0
289,299,2023-01-08,Onboarding,pending,3.0
290,360,2023-04-05,Onboarding,closed,3.0
291,267,2023-02-04,Feature request,closed,5.0
292,386,2023-02-27,Billing,pending,2.0
293,1,2023-01-30,Onboarding,closed,3.0
294,349,2023-06-03,Billing,pending,
295,49,2023-04-19,Onboarding,closed,1.0
296,314,2023-04-28,Bug,closed,5.0
297,161,2023-04-07,Billing,closed,3.0
298,478,2023-05-25,Feature request,pending,4.0
299,228,2023-03-09,Feature request,closed,3.0
300,230,2023-01-23,Feature request,pending,2.0
301,387,2023-01-30,Onboarding,closed,3.0
302,348,2023-04-18,Billing,closed,4.0
303,85,2023-04-19,Bug,closed,1.0
304,263,2023-05-12,Onboarding,closed,2.0
305,456,2023-03-11,Bug,closed,3.0
306,386,2023-01-13,Feature request,Closed ,4.0
307,97,2023-04-14,Bug,closed,3.0
308,179,2023-04-23,Feature request,open,5.0
309,213,2023-02-04,Feature request,closed,3.0
310,496,2023-03-01,Feature request,closed,5.0
311,395,2023-02-21,Feature request,closed,
312,412,2023-03-24,Bug,closed,3.0
313,204,2023-01-06,Bug,closed,3.0
314,278,2023-03-28,Bug,closed,5.0
315,5,2023-01-23,Billing,closed,1.0
316,230,2023-04-27,Billing,closed,3.0
317,347,2023-01-14,Bug,closed,3.0
318,338,2023-06-13,Feature request,pending,5.0
319,291,2023-04-07,Feature request,closed,3.0
320,486,2023-04-22,Feature request,pending,5.0
321,27,2023-01-25,Onboarding,closed,4.0
322,173,2023-06-02,Onboarding,Closed ,
323,177,2023-06-24,Onboarding,closed,4.0
324,499,2023-06-03,Bug,closed,3.0
325,342,2023-03-04,Bug,closed,5.0
326,294,2023-03-18,Billing,pending,2.0
327,453,2023-06-23,Billing,closed,2.0
328,95,2023-06-04,Bug,closed,4.0
329,280,2023-05-29,Bug,closed,3.0
330,437,2023-06-07,Feature request,pending,1.0
331,389,2023-04-10,Onboarding,closed,3.0
332,207,2023-01-29,Feature request,closed,1.0
333,80,2023-03-23,Billing,closed,2.0
334,201,2023-05-21,Bug,pending,3.0
335,350,2023-01-13,Bug,closed,3.0
336,461,2023-05-11,Bug,closed,3.0
337,17,2023-04-12,Billing,closed,3.0
338,347,2023-06-08,Onboarding,closed,
339,240,2023-05-06,Onboarding,closed,5.0
340,341,2023-04-24,Bug,open,5.0
341,339,2023-01-12,Feature request,closed,1.0
342,163,2023-04-17,Onboarding,pending,2.0
343,139,2023-02-22,Bug,closed,5.0
344,385,2023-04-30,Onboarding,pending,4.0
345,250,2023-04-05,Onboarding,pending,5.0
346,153,2023-06-02,Feature request,closed,4.0
347,260,2023-05-28,Billing,closed,2.0
348,370,2023-02-12,Bug,closed,1.0
349,61,2023-06-08,Feature request,closed,2.0
350,188,2023-03-08,Billing,pending,2.0
351,15,2023-04-13,Onboarding,closed,4.0
352,403,2023-03-17,Onboarding,open,
353,33,2023-03-24,Bug,closed,5.0
354,423,2023-06-06,Feature request,pending,1.0
355,83,2023-03-14,Billing,closed,3.0
356,270,2023-03-17,Feature request,open,4.0
357,104,2023-05-15,Billing,open,3.0
358,264,2023-05-19,Billing,closed,1.0
359,400,2023-05-16,Bug,pending,3.0
360,339,2023-05-25,Bug,closed,1.0
361,320,2023-03-29,Onboarding,closed,5.0
362,245,2023-04-12,Bug,open,4.0
363,201,2023-04-17,Bug,closed,1.0
364,352,2023-02-10,Billing,closed,5.0
365,141,2023-01-14,Billing,closed,5.0
366,315,2023-06-10,Bug,closed,2.0
367,113,2023-01-07,Onboarding,open,2.0
368,441,2023-03-12,Feature request,closed,4.0
369,325,2023-04-26,Onboarding,closed,5.0
370,285,2023-01-23,Billing,pending,3.0
371,76,2023-04-25,Feature request,pending,3.0
372,12,2023-05-12,Onboarding,closed,1.0
373,167,2023-05-09,Onboarding,closed,4.0
374,192,2023-05-02,Billing,closed,3.0
375,42,2023-01-28,Onboarding,closed,4.0
376,366,2023-01-09,Onboarding,closed,5.0
