usage_id,account_id,feature_name,events_count,active_users,event_date
1,13,code_assist,7,12,2023-05-07
2,51,code_assist,6,37,2023-03-25
3,495,data_insights,5,33,2023-01-29
4,64,dashboard_export,6,40,2023-02-28
5,425,code_assist,5,27,2023-06-10
6,397,dashboard_export,4,18,2023-06-10
7,319,dashboard_export,3,29,2023-02-10
8,294,data_insights,2,35,2023-01-19
9,467,dashboard_export,2,38,2023-05-08
10,257,code_assist,5,4,2023-03-17
11,234,code_assist,7,18,2023-06-23
12,81,chat_completion,7,35,2023-05-19
13,434,code_assist,2,35,2023-02-26
14,205,code_assist,10,7,2023-04-12
15,273,dashboard_export,8,24,2023-03-06
16,251,chat_completion,8,24,2023-04-02
17,416,chat_completion,9,10,2023-04-06
18,21,data_insights,4,47,2023-02-07
19,358,data_insights,6,4,2023-05-15
20,500,chat_completion,7,13,2023-05-10
21,37,dashboard_export,5,26,2023-03-30
22,42,chat_completion,9,25,2023-02-17
23,244,dashboard_export,4,17,2023-03-10
24,15,chat_completion,6,3,2023-02-22
25,343,chat_completion,5,5,2023-01-25
26,77,chat_completion,4,50,2023-01-14
27,153,data_insights,9,36,2023-04-21
28,199,dashboard_export,3,37,2023-05-13
29,252,chat_completion,5,8,2023-04-19
30,173,chat_completion,6,46,2023-05-24
31,24,data_insights,6,6,2023-05-31
32,181,dashboard_export,5,17,2023-04-29
33,270,code_assist,6,30,2023-05-30
34,493,data_insights,8,15,2023-04-13
35,53,code_assist,4,29,2023-02-11
36,45,data_insights,6,34,2023-02-22
37,139,code_assist,7,46,2023-05-01
38,217,code_assist,8,13,2023-03-02
39,11,code_assist,6,15,2023-01-17
40,62,chat_completion,5,33,2023-05-25
41,303,chat_completion,6,1,2023-06-06
42,111,dashboard_export,6,1,2023-03-17
43,33,dashboard_export,4,20,2023-02-28
44,140,chat_completion,7,28,2023-05-02
45,481,dashboard_export,7,28,2023-01-05
46,409,code_assist,1,25,2023-01-29
47,210,chat_completion,7,16,2023-02-17
48,314,dashboard_export,6,15,2023-05-26
49,251,chat_completion,7,50,2023-05-12
50,499,dashboard_export,6,47,2023-02-28
51,17,chat_completion,8,9,2023-03-18
52,117,chat_completion,6,7,2023-06-16
53,474,code_assist,4,11,2023-01-29
54,55,code_assist,6,8,2023-05-14
55,108,code_assist,2,26,2023-06-24
56,469,chat_completion,7,35,2023-01-02
57,393,chat_completion,2,13,2023-06-25
58,171,dashboard_export,4,24,2023-01-25
59,174,chat_completion,1,48,2023-02-06
60,23,chat_completion,2,5,2023-05-21
61,251,data_insights,4,47,2023-06-24
62,37,code_assist,3,9,2023-04-23
63,149,chat_completion,5,41,2023-02-24
64,91,dashboard_export,5,39,2023-01-30
65,183,dashboard_export,7,41,2023-05-06
66,198,code_assist,5,50,2023-03-28
67,380,data_insights,3,30,2023-06-27
68,169,code_assist,3,47,2023-01-07
69,227,data_insights,0,41,2023-05-27
70,85,code_assist,1,22,2023-01-19
71,58,dashboard_export,9,46,2023-01-30
72,489,chat_completion,3,45,2023-03-09
73,447,data_insights,3,36,2023-06-22
74,415,code_assist,5,38,2023-01-29
