subscription_id,account_id,plan_type,mrr_usd,is_active_subscription,subscription_start,subscription_end
3,209,Free,159.69,False,2022-07-19,2022-08-15
22,439,Pro,116.17,False,2022-01-05,2022-01-11
137,22,Free,216.5,False,2022-11-25,2022-12-12
222,454,Free,114.45,False,2021-12-09,2022-01-01
225,9,Pro,202.84,False,2022-11-17,2022-11-27
258,374,Free,0.0,False,2023-04-29,2023-05-24
306,304,Free,85.74,False,2022-10-07,2022-11-05
312,301,Pro,0.0,False,2023-04-20,2023-04-23
378,111,Free,53.0,False,2023-10-02,2023-10-04
553,8,Enterprise,167.37,False,2023-07-30,2023-08-06
580,165,Pro,82.04,False,2022-01-01,2022-01-24
592,281,Enterprise,224.31,False,2023-10-16,2023-10-17
692,41,Pro,55.6,False,2023-09-12,2023-09-18
754,287,Enterprise,162.61,False,2021-12-02,2021-12-25
779,39,Pro,54.87,False,2023-09-06,2023-09-11
